analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59532 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:45366 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
